"Array Size","Total Time (in s)"
1000000,0.00
2000000,0.00
4000000,0.00
8000000,0.00
16000000,0.01
32000000,0.02
64000000,0.05
128000000,0.11
256000000,0.24
512000000,0.46
1024000000,0.89
